"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"58","RT @DeepLearn007: MedyMatch tech for pinpointing brain bleeds gets FDA nod for quick approval
#AI #MachineLearning #DeepLearning #ML #DL #H…",FALSE,0,NA,2018-01-29 15:13:00,FALSE,NA,"957994994987446273",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ocateslibrayr",131,TRUE,FALSE,NA,NA
"59","RT @ipfconline1: An Easy Way to Get your Company Started on #DataScience and #MachineLearning

https://t.co/BhdPC3Hnex  v @DataRobot https:…",FALSE,0,NA,2018-01-29 15:12:46,FALSE,NA,"957994936259022848",NA,"<a href=""http://semanticearth.com/"" rel=""nofollow"">Infomation Service Provider13</a>","scientific_me",9,TRUE,FALSE,NA,NA
"60","RT @_FarooqUmar: Few Predictions About the #MachineLearning Change in 2018 - insideBIGDATA 
#AI #ML #DL #Algorithms #NLP #DataScience #IoT…",FALSE,0,NA,2018-01-29 15:12:43,FALSE,NA,"957994924061921281",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MarcHoulding",10,TRUE,FALSE,NA,NA
"61","RT @ProductiveSys: #MachineLearning and AI: How #smartphones get even smarter - AndroidPIT 
#AI #ML #DL #Algorithms #NLP #DataScience #IoT…",FALSE,0,NA,2018-01-29 15:12:39,FALSE,NA,"957994906462679042",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MarcHoulding",12,TRUE,FALSE,NA,NA
"62","RT @TechNative: While technologies such as #AI, #MachineLearning, #bots, #BigData &amp; #IoT disrupt all aspects of business and industry, embr…",FALSE,0,NA,2018-01-29 15:12:38,FALSE,NA,"957994903425961984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IOT_Saudi",25,TRUE,FALSE,NA,NA
"63","RT @DeepLearn007: Machine Learning Driven Technological Revolution
#AI #MachineLearning #Fintech #ML #Banking #tech 
https://t.co/elSSyEf9G…",FALSE,0,NA,2018-01-29 15:12:35,FALSE,NA,"957994893300977664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wunwuNCYn",179,TRUE,FALSE,NA,NA
"64","RT @ProductiveSys: #MachineLearning for the masses | ZDNet
 #AI #ML #DL #Algorithms #NLP #DataScience #IoT #Industry40 #IIoT #BigData #Smar…",FALSE,0,NA,2018-01-29 15:12:34,FALSE,NA,"957994889224081409",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MarcHoulding",16,TRUE,FALSE,NA,NA
"65","Heading to #LT18UK this week and interested in #LearningAnalytics, #MachineLearning, #xAPI and more? Come see us at… https://t.co/c7fHDkSgM3",FALSE,1,NA,2018-01-29 15:12:15,TRUE,NA,"957994807338721281",NA,"<a href=""http://meetedgar.com"" rel=""nofollow"">Meet Edgar</a>","Learning_Locker",0,FALSE,FALSE,NA,NA
"66","RT @DeepLearn007: Big Data Combined With Machine Learning Helps Businesses Make Much Smarter Decisions
#AI #MachineLearning #BigData #Finte…",FALSE,0,NA,2018-01-29 15:12:09,FALSE,NA,"957994780910235648",NA,"<a href=""https://www.google.com"" rel=""nofollow"">twitterAppAccount</a>","_aloksingh_",157,TRUE,FALSE,NA,NA
"67","RT @_FarooqUmar: How to Analyze Big Data Using #MachineLearning? 
#BigDataAnalytics #AI #ML #DL #Algorithms #NLP #DataScience #IoT #Industr…",FALSE,0,NA,2018-01-29 15:12:08,FALSE,NA,"957994778821619713",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MarcHoulding",6,TRUE,FALSE,NA,NA
"68","RT @Nadia__Rafiq: #DataScience, #MachineLearning, #BI Explained in a Amazing Few Pictures 
#AI #ML #DL #Algorithms #NLP #IoT #Industry40 #I…",FALSE,0,NA,2018-01-29 15:12:04,FALSE,NA,"957994759884300295",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MarcHoulding",10,TRUE,FALSE,NA,NA
"69","Building a scalable #Keras + deep learning REST API with Flask and Redis: https://t.co/CjJgrdjclG #Python… https://t.co/LplWSfnzPD",FALSE,1,NA,2018-01-29 15:11:56,TRUE,NA,"957994728791867392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PyImageSearch",1,FALSE,FALSE,NA,NA
"70","RT @TechNative: David Mytton from @serverdensity explains how to cut through the #MachineLearning buzzwords https://t.co/Eyc43O2ucR … #BigD…",FALSE,0,NA,2018-01-29 15:11:50,FALSE,NA,"957994702908911616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TechNative",7,TRUE,FALSE,NA,NA
"71","RT @DeepLearn007: Big Data Combined With Machine Learning Helps Businesses Make Much Smarter Decisions
#AI #MachineLearning #BigData #Finte…",FALSE,0,NA,2018-01-29 15:11:46,FALSE,NA,"957994687155113984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wunwuNCYn",157,TRUE,FALSE,NA,NA
"72","RT @TechNative: While technologies such as #AI, #MachineLearning, #bots, #BigData &amp; #IoT disrupt all aspects of business and industry, embr…",FALSE,0,NA,2018-01-29 15:11:43,FALSE,NA,"957994673594929153",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TechNative",25,TRUE,FALSE,NA,NA
"73","Building Machine Learning Systems with TensorFlow
<U+261E> https://t.co/clkqNeacb3
#MachineLearning
BynGOIsHG https://t.co/k4TK4SIeKB",FALSE,0,NA,2018-01-29 15:11:38,FALSE,NA,"957994652233236484",NA,"<a href=""https://www.producthunt.com/"" rel=""nofollow"">chungcc</a>","Machine_LearnAI",0,FALSE,FALSE,NA,NA
"74","RT @CreativeTech_By: #MachineLearning and #AI: How smartphones get even smarter? https://t.co/qGpKIdHNIP https://t.co/kfDvMlcIKB",FALSE,0,NA,2018-01-29 15:11:37,FALSE,NA,"957994650026979329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","danlopez000",1,TRUE,FALSE,NA,NA
"75","RT @Nadia__Rafiq: #MachineLearning : What &amp; Why ? – codeburst 
#AI #ML #DL #Algorithms #NLP #DataScience #IoT #Industry40 #IIoT #BigData #S…",FALSE,0,NA,2018-01-29 15:10:49,FALSE,NA,"957994447463243776",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MarcHoulding",3,TRUE,FALSE,NA,NA
"76","MedyMatch tech for pinpointing brain bleeds gets FDA nod for quick approval
#AI #MachineLearning #DeepLearning #ML… https://t.co/6AJmHAIzSt",FALSE,0,NA,2018-01-29 15:10:48,TRUE,NA,"957994443604480000",NA,"<a href=""http://convey.pro"" rel=""nofollow"">Convey: Make it post for you</a>","beskotw",0,FALSE,FALSE,NA,NA
"77","Machine learning, AI and deep learning folk,  what are your thoughts about this video that aims too distinguish the… https://t.co/qkSOxXbw1O",FALSE,0,NA,2018-01-29 15:10:40,TRUE,NA,"957994410700132354",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jasonnurse",0,FALSE,FALSE,NA,NA
